RedFighter,BlueFighter,RedOdds,BlueOdds,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Jack Della Maddalena,Carlos Prates,-104.0,-122.0,18.0,-3,-12.7,-5.08,2,0,10,2,-3,1,-2,1,4,1.8,0.1,-0.08,-4,2026-05-02,False,Welterweight,MALE,5,0,2,5,1,16,0,7,0,7,Switch,185.42,198.12,1,0,9,1,26,2,4,1,9,Switch,180.34,185.42,29,32,5,1
Beneil Dariush,Quillan Salkilld,350.0,-520.0,870.0,10,-7.62,-5.08,12,7,42,0,1,4,-5,1,3,-1.38,0.0,-5.84,-8,2026-05-02,False,Lightweight,MALE,3,0,5,5,0,9,0,2,1,5,Orthodox,182.88,190.5,1,0,8,7,51,0,3,5,17,Southpaw,177.8,182.88,36,26,20,12
Tim Elliott,Steve Erceg,200.0,-265.0,465.0,9,-5.08,-2.54,6,8,32,0,-1,3,1,0,-1,-0.63,0.7,2.56,-1,2026-05-02,False,Flyweight,MALE,3,0,1,3,3,22,1,1,0,4,Orthodox,172.72,172.72,0,2,2,11,54,1,0,3,10,Southpaw,170.18,167.64,39,30,12,11
Shamil Gaziev,Brando Pericic,108.0,-136.0,244.0,5,-2.54,-2.54,2,2,10,0,0,1,-2,1,0,-10.29,0.3,0.93,-5,2026-05-02,False,Heavyweight,MALE,3,0,2,2,0,2,0,2,0,2,Orthodox,195.58,200.66,1,0,2,2,12,0,2,1,4,Orthodox,193.04,198.12,36,31,20,15
Tai Tuivasa,Louie Sutherland,-210.0,162.0,-372.0,1,-2.54,-2.54,8,7,30,0,7,0,0,4,5,-0.09,0.0,-4.69,-5,2026-05-02,False,Heavyweight,MALE,3,2,0,0,2,2,0,0,0,0,Orthodox,190.5,193.04,6,0,5,9,32,0,7,0,8,Southpaw,187.96,190.5,33,32,20,15
Cam Rowston,Robert Bryczek,-188.0,146.0,-334.0,-4,7.62,7.62,2,0,1,0,2,0,2,0,2,0.52,0.5,-0.06,0,2026-05-02,False,Middleweight,MALE,3,0,1,1,1,6,0,1,0,1,Orthodox,182.88,190.5,0,3,3,1,7,0,3,0,3,Orthodox,190.5,198.12,31,35,20,20
Junior Tafa,Kevin Christian,-215.0,164.0,-379.0,-2,-12.7,-10.16,1,4,10,0,2,-1,0,1,0,1.77,-2.3,0.0,0,2026-05-02,False,Light Heavyweight,MALE,3,1,0,1,1,3,0,0,1,1,Orthodox,200.66,203.2,2,0,1,5,13,0,2,0,2,Orthodox,190.5,190.5,29,31,20,20
Jacob Malkoun,Gerald Meerschaert,-1200.0,630.0,-1830.0,-8,-10.16,-10.16,-7,-10,-32,0,0,-11,2,-4,-1,1.54,-0.5,3.99,0,2026-05-02,False,Middleweight,MALE,3,4,0,3,13,51,0,1,11,12,Southpaw,185.42,195.58,0,2,2,3,19,0,1,0,5,Orthodox,175.26,185.42,30,38,20,20
Colby Thicknesse,Vince Morales,-138.0,108.0,-246.0,-9,-2.54,0.0,-2,-8,-26,0,-1,0,1,-5,-1,-0.24,0.0,0.41,0,2026-05-02,False,Bantamweight,MALE,3,5,0,2,9,32,0,1,0,3,Orthodox,170.18,177.8,0,1,1,1,6,0,0,0,1,Orthodox,170.18,175.26,26,35,20,20
Ben Johnston,Wes Schultz,-158.0,124.0,-282.0,6,-3.58,6.58,-1,-2,-4,0,0,-1,0,-1,-1,-4.6,-1.1,-4.52,0,2026-05-02,False,Middleweight,MALE,3,1,0,1,2,4,0,0,1,1,Orthodox,185.42,195.58,0,0,0,0,0,0,0,0,0,Orthodox,192.0,192.0,35,29,20,20
Jonathan Micallef,Themba Gorimbo,-265.0,200.0,-465.0,-8,0.0,-2.54,-1,-3,-10,0,-1,2,3,-2,-1,1.24,0.7,-3.94,0,2026-05-02,False,Welterweight,MALE,3,2,0,4,3,16,0,1,0,4,Orthodox,185.42,195.58,0,3,3,0,6,0,0,2,3,Southpaw,182.88,195.58,27,35,20,20
Dom Mar Fan,Kody Steele,164.0,-215.0,379.0,-5,10.16,5.08,2,-1,4,1,-1,0,3,-1,2,-0.73,0.3,1.38,0,2026-05-02,False,Lightweight,MALE,3,1,0,1,1,5,0,1,0,1,Orthodox,175.26,180.34,0,3,3,0,9,1,0,0,3,Orthodox,180.34,190.5,26,31,20,20
