RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,WinsDiff,LossesDiff,WinStreakDiff,LoseStreakDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,Finish,FinishRound,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank
Colby Covington,Joaquin Buckley,205,-250,False,0.0,1.4,455,6,-10.159999999999997,2,0,-5,1,-3,2024-12-14,False,Welterweight,MALE,5,KO/TKO,3,0,5,5,4,34,0,7,0,10,Southpaw,177.8,193.04,30,9,1,0,7,4,58,4,3,2,12,Orthodox,180.34,182.88,36,6
Cub Swanson,Billy Quarantillo,124,-148,True,2.24,0.0,272,5,0.0,12,9,0,0,0,2024-12-14,False,Featherweight,MALE,3,KO/TKO,3,1,0,4,4,28,0,4,1,7,Orthodox,177.8,177.8,36,20,1,0,6,13,82,0,6,2,19,Orthodox,172.72,177.8,41,20
Manel Kape,Bruno Silva,-395,310,True,1.2532,0.0,-705,-3,7.6200000000000045,0,1,-4,1,-3,2024-12-14,False,Flyweight,MALE,3,KO/TKO,3,0,4,4,2,16,0,3,1,4,Orthodox,162.56,165.1,34,12,1,0,4,3,17,0,2,0,4,Southpaw,165.1,172.72,31,9
Vitor Petrino,Dustin Jacoby,-340,270,False,0.0,3.7,-610,-9,2.5400000000000205,-3,-5,0,-1,0,2024-12-14,False,Light Heavyweight,MALE,3,KO/TKO,3,2,0,4,6,35,0,4,0,8,Orthodox,190.5,193.04,36,20,1,0,5,1,14,0,2,1,5,Orthodox,187.96,195.58,27,20
Adrian Yanez,Daniel Marcos,185,-225,False,0.0,1.4444,410,0,2.5400000000000205,3,2,-3,0,0,2024-12-14,False,Bantamweight,MALE,3,S-DEC,3,0,4,4,0,13,0,1,0,4,Orthodox,170.18,175.26,31,20,0,1,6,2,15,0,6,0,7,Orthodox,170.18,177.8,31,20
Navajo Stirling,Tuco Tokkos,-750,525,True,1.1333,0.0,-1275,-7,7.6200000000000045,1,-2,1,-2,0,2024-12-14,False,Light Heavyweight,MALE,3,U-DEC,3,2,0,0,2,2,0,0,0,0,Orthodox,193.04,193.04,34,20,0,1,1,0,2,0,1,0,1,Orthodox,193.04,200.66,27,20
Michael Johnson,Ottman Azaitar,-230,190,True,1.4348,0.0,-420,4,5.079999999999984,12,13,1,-2,0,2024-12-14,False,Lightweight,MALE,3,KO/TKO,2,2,0,2,2,4,0,2,0,2,Switch,172.72,180.34,34,20,0,1,4,15,74,1,5,0,14,Southpaw,177.8,185.42,38,20
Joel Alvarez,Drakkar Klose,-425,330,True,1.2353,0.0,-755,-5,17.78,-3,0,-2,0,0,2024-12-14,False,Lightweight,MALE,3,KO/TKO,1,0,4,4,2,29,0,2,0,9,Orthodox,175.26,177.8,36,20,0,2,4,2,15,0,3,3,6,Orthodox,190.5,195.58,31,20
Sean Woodson,Fernando Padilla,-155,130,True,1.6452,0.0,-285,5,5.0800000000000125,5,0,4,0,0,2024-12-14,False,Featherweight,MALE,3,KO/TKO,1,0,1,1,1,5,0,1,1,2,Orthodox,185.42,193.04,27,20,0,5,3,1,24,0,2,0,7,Orthodox,187.96,198.12,32,20
Miles Johns,Felipe Lima,210,-258,False,0.0,1.3876,468,4,-5.0800000000000125,6,2,2,0,0,2024-12-14,False,Featherweight,MALE,3,U-DEC,3,0,1,1,0,3,0,0,1,1,Orthodox,167.64,172.72,26,20,0,3,3,2,29,0,2,0,7,Orthodox,170.18,167.64,30,20
