,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
0,Colby Covington,Joaquin Buckley,KO/TKO,3.0,205,-250,12/14/2024,Blue,False,Welterweight,MALE,5,0,5,5,4,34,0,7,0,10,Southpaw,177.8,193.04,30,9.0,1,0,7,4,58,4,3,2,12,Orthodox,180.34,182.88,36,6.0,Red
1,Cub Swanson,Billy Quarantillo,KO/TKO,3.0,124,-148,12/14/2024,Red,False,Featherweight,MALE,3,1,0,4,4,28,0,4,1,7,Orthodox,177.8,177.8,36,,1,0,6,13,82,0,6,2,19,Orthodox,172.72,177.8,41,,neither
2,Manel Kape,Bruno Silva,KO/TKO,3.0,-395,310,12/14/2024,Red,False,Flyweight,MALE,3,0,4,4,2,16,0,3,1,4,Orthodox,162.56,165.1,34,12.0,1,0,4,3,17,0,2,0,4,Southpaw,165.1,172.72,31,9.0,Red
3,Vitor Petrino,Dustin Jacoby,KO/TKO,3.0,-340,270,12/14/2024,Blue,False,Light Heavyweight,MALE,3,2,0,4,6,35,0,4,0,8,Orthodox,190.5,193.04,36,,1,0,5,1,14,0,2,1,5,Orthodox,187.96,195.58,27,,neither
4,Adrian Yanez,Daniel Marcos,S-DEC,3.0,185,-225,12/14/2024,Blue,False,Bantamweight,MALE,3,0,4,4,0,13,0,1,0,4,Orthodox,170.18,175.26,31,,0,1,6,2,15,0,6,0,7,Orthodox,170.18,177.8,31,,neither
5,Navajo Stirling,Tuco Tokkos,U-DEC,3.0,-750,525,12/14/2024,Red,False,Light Heavyweight,MALE,3,2,0,0,2,2,0,0,0,0,Orthodox,193.04,193.04,34,,0,1,1,0,2,0,1,0,1,Orthodox,193.04,200.66,27,,neither
6,Michael Johnson,Ottman Azaitar,KO/TKO,2.0,-230,190,12/14/2024,Red,False,Lightweight,MALE,3,2,0,2,2,4,0,2,0,2,Switch,172.72,180.34,34,,0,1,4,15,74,1,5,0,14,Southpaw,177.8,185.42,38,,neither
7,Joel Alvarez,Drakkar Klose,KO/TKO,1.0,-425,330,12/14/2024,Red,False,Lightweight,MALE,3,0,4,4,2,29,0,2,0,9,Orthodox,175.26,177.8,36,,0,2,4,2,15,0,3,3,6,Orthodox,190.5,195.58,31,,neither
8,Sean Woodson,Fernando Padilla,KO/TKO,1.0,-155,130,12/14/2024,Red,False,Featherweight,MALE,3,0,1,1,1,5,0,1,1,2,Orthodox,185.42,193.04,27,,0,5,3,1,24,0,2,0,7,Orthodox,187.96,198.12,32,,neither
9,Miles Johns,Felipe Lima,U-DEC,3.0,210,-258,12/14/2024,Blue,False,Featherweight,MALE,3,0,1,1,0,3,0,0,1,1,Orthodox,167.64,172.72,26,,0,3,3,2,29,0,2,0,7,Orthodox,170.18,167.64,30,,neither
10,Miranda Maverick,Jamey-Lyn Horth,U-DEC,3.0,-625,455,12/14/2024,Red,False,Women's Flyweight,FEMALE,3,0,1,1,1,9,0,0,0,2,Orthodox,170.18,167.64,34,,0,3,3,3,27,0,1,2,7,Southpaw,160.02,165.1,27,,neither
11,Davey Grant,Ramon Taveras,U-DEC,3.0,-122,102,12/14/2024,Red,False,Bantamweight,MALE,3,0,2,2,1,5,0,1,0,2,Southpaw,172.72,177.8,30,,1,0,3,6,32,1,3,1,6,Orthodox,172.72,175.26,38,,neither
12,Josefine Knutsson,Piera Rodriguez,U-DEC,3.0,-245,200,12/14/2024,Blue,False,Women's Strawweight,FEMALE,3,2,0,3,2,13,0,0,0,3,Orthodox,160.02,160.02,32,,0,4,4,0,12,0,0,0,4,Orthodox,160.02,152.4,28,,neither
13,Alexandre Pantoja,Kai Asakura,SUB,2.0,-250,215,12/7/2024,Red,True,Flyweight,MALE,5,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,31,,0,6,6,3,42,3,2,4,12,Orthodox,165.1,170.18,34,0.0,Red
14,Shavkat Rakhmonov,Ian Machado Garry,U-DEC,5.0,-210,295,12/7/2024,Red,False,Welterweight,MALE,3,0,8,8,0,20,0,3,0,8,Orthodox,190.5,187.96,27,7.0,0,6,6,0,11,0,1,5,6,Orthodox,185.42,195.58,30,3.0,Red
15,Ciryl Gane,Alexander Volkov,S-DEC,3.0,-380,300,12/7/2024,Red,False,Heavyweight,MALE,3,0,4,4,4,44,0,6,1,12,Orthodox,200.66,203.2,36,3.0,0,1,7,2,33,3,4,2,9,Orthodox,193.04,205.74,34,2.0,Red
