weight_class,model,model_params,params_label,fight_count,splits,bets,bet_rate,return_rate,accuracy,brier,logloss,fights,favorite_return_rate,underdog_return_rate
Bantamweight,logreg,{'C': 0.05},C=0.05,547,4,71,0.12979890310786105,1.0769394366197185,0.721030042918455,0.19787849045860467,0.5825152878004989,233,1.0295390557939912,0.7831115879828326
Featherweight,rf,"{'n_estimators': 500, 'min_samples_leaf': 3, 'max_depth': None}","max_depth=None, min_samples_leaf=3, n_estimators=500",580,4,75,0.12931034482758622,1.3553826666666668,0.6320346320346321,0.217571661214863,0.6234451778893617,231,0.8931601731601732,1.020248051948052
Flyweight,hist_gb,"{'max_depth': 6, 'learning_rate': 0.02, 'max_iter': 500}","learning_rate=0.02, max_depth=6, max_iter=500",302,2,58,0.19205298013245034,1.1052758620689658,0.7375,0.1873558795498428,0.5747521662193188,138,1.022123913043478,0.7893768115942029
Heavyweight,extra_trees,"{'n_estimators': 500, 'min_samples_leaf': 3, 'max_depth': None}","max_depth=None, min_samples_leaf=3, n_estimators=500",380,4,86,0.22631578947368422,1.0798593023255814,0.7446808510638298,0.1942059171443886,0.5772985974576522,141,1.0715134751773048,0.7008652482269504
Light Heavyweight,ada,"{'n_estimators': 600, 'learning_rate': 0.02}","learning_rate=0.02, n_estimators=600",381,4,63,0.16535433070866143,1.1146492063492064,0.6544117647058824,0.22220144708666953,0.6311505888480556,136,0.952427205882353,0.9445985294117646
Lightweight,logreg,{'C': 0.05},C=0.05,709,4,123,0.17348377997179126,1.146223577235772,0.6729323308270677,0.20993378671861485,0.6088647724630911,266,0.9983165413533833,0.9175954887218045
Middleweight,logreg,{'C': 0.05},C=0.05,575,4,89,0.15478260869565216,1.0445651685393258,0.6401673640167364,0.22236366639358757,0.6372805885426743,239,1.0158271966527195,0.8683673640167364
Welterweight,xgb,"{'n_estimators': 250, 'max_depth': 2, 'learning_rate': 0.04, 'booster': 'dart'}","booster=dart, learning_rate=0.04, max_depth=2, n_estimators=250",688,4,108,0.1569767441860465,1.0227935185185186,0.6748971193415638,0.20993447303771973,0.6105658207354979,243,0.9992230452674896,0.8135547325102881
Women's Bantamweight,logreg,{'C': 1.5},C=1.5,187,3,46,0.24598930481283424,1.0552369565217392,0.6481481481481481,0.2326741024525271,0.660853379192892,71,0.9829957746478872,0.9472478873239436
Women's Flyweight,ada,"{'n_estimators': 200, 'learning_rate': 0.05}","learning_rate=0.05, n_estimators=200",271,3,66,0.24354243542435425,1.076769696969697,0.5473684210526316,0.2511839302738593,0.6970981079789879,136,0.9592036764705884,0.9561764705882354
Women's Strawweight,logreg,{'C': 0.5},C=0.5,323,4,97,0.30030959752321984,1.165961855670103,0.6231884057971014,0.2385659296890962,0.7402912530478952,138,0.9463884057971014,1.0085978260869566
