Date,RedFighter,BlueFighter,WeightClass,RedOdds,BlueOdds
2024-12-14,Colby Covington,Joaquin Buckley,Welterweight,205,-250
2024-12-14,Cub Swanson,Billy Quarantillo,Featherweight,124,-148
2024-12-14,Manel Kape,Bruno Silva,Flyweight,-395,310
2024-12-14,Vitor Petrino,Dustin Jacoby,Light Heavyweight,-340,270
2024-12-14,Adrian Yanez,Daniel Marcos,Bantamweight,185,-225
2024-12-14,Navajo Stirling,Tuco Tokkos,Light Heavyweight,-750,525
2024-12-14,Michael Johnson,Ottman Azaitar,Lightweight,-230,190
2024-12-14,Joel Alvarez,Drakkar Klose,Lightweight,-425,330
2024-12-14,Sean Woodson,Fernando Padilla,Featherweight,-155,130
2024-12-14,Miles Johns,Felipe Lima,Featherweight,210,-258
2024-12-14,Miranda Maverick,Jamey-Lyn Horth,Women's Flyweight,-625,455
2024-12-14,Davey Grant,Ramon Taveras,Bantamweight,-122,102
2024-12-14,Josefine Knutsson,Piera Rodriguez,Women's Strawweight,-245,200
2024-12-07,Alexandre Pantoja,Kai Asakura,Flyweight,-250,215
2024-12-07,Shavkat Rakhmonov,Ian Machado Garry,Welterweight,-210,295
2024-12-07,Ciryl Gane,Alexander Volkov,Heavyweight,-380,300
2024-12-07,Bryce Mitchell,Kron Gracie,Featherweight,-950,625
2024-12-07,Nate Landwehr,Dooho Choi,Featherweight,-130,110
2024-12-07,Dominick Reyes,Anthony Smith,Light Heavyweight,-380,300
2024-12-07,Vicente Luque,Themba Gorimbo,Welterweight,-650,-162
2024-12-07,Movsar Evloev,Aljamain Sterling,Featherweight,-238,195
2024-12-07,Randy Brown,Bryan Battle,Welterweight,150,-180
2024-12-07,Chris Weidman,Eryk Anders,Catch Weight,-112,-108
2024-12-07,Cody Durden,Joshua Van,Flyweight,142,-170
2024-12-07,Michael Chiesa,Max Griffin,Welterweight,-130,110
2024-12-07,Clay Guida,Chase Hooper,Lightweight,700,-1100
2024-12-07,Kennedy Nzechukwu,Lukasz Brzeski,Heavyweight,-550,410
2024-11-23,Petr Yan,Deiveson Figueiredo,Bantamweight,-305,245
2024-11-23,Yan Xiaonan,Tabatha Ricci,Women's Strawweight,-198,164
2024-11-23,Song Kenan,Muslim Salikhov,Welterweight,-230,190
2024-11-23,Wang Cong,Gabriella Fernandes,Women's Flyweight,-950,750
2024-11-23,Volkan Oezdemir,Carlos Ulberg,Light Heavyweight,215,-265
2024-11-23,Zhang Mingyang,Ozzy Diaz,Light Heavyweight,-225,210
2024-11-23,Baergeng Jieleyisi,SuYoung You,Bantamweight,190,-230
2024-11-23,Kiru Sahota,DongHun Choi,Flyweight,102,-122
2024-11-23,Shi Ming,Feng Xiaocan,Women's Strawweight,380,-490
2024-11-23,Nyamjargal Tumendemberel,Carlos Hernandez,Flyweight,102,-122
2024-11-23,Lone'er Kavanagh,Jose Ochoa,Flyweight,-310,250
2024-11-23,Xiao Long,Quang Le,Bantamweight,-144,136
2024-11-23,Maheshate,Nikolas Motta,Lightweight,-245,200
2024-11-16,Jon Jones,Stipe Miocic,Heavyweight,-550,410
2024-11-16,Charles Oliveira,Michael Chandler,Lightweight,-265,215
2024-11-16,Bo Nickal,Paul Craig,Middleweight,-1350,800
2024-11-16,Viviane Araujo,Karine Silva,Women's Flyweight,235,-290
