RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Colby Covington,Joaquin Buckley,172,-205,False,0.0,1.4878,377,6,-10.16,2.54,2,0,24,4,-4,2,-5,1,2,-0.07,0.1,2.1,-3,2024-12-14,False,Welterweight,MALE,5,0,5,5,4,34,0,7,0,10,Southpaw,177.8,193.04,1,0,7,4,58,4,3,2,12,Orthodox,180.34,182.88,36,30,9,6
Cub Swanson,Billy Quarantillo,140,-166,True,2.4,0.0,306,5,0.0,-5.08,12,9,54,0,2,1,0,0,2,-2.6,-0.6,-0.47,-5,2024-12-14,False,Featherweight,MALE,3,1,0,4,4,28,0,4,1,7,Orthodox,177.8,177.8,1,0,6,13,82,0,6,2,19,Orthodox,172.72,177.8,41,36,20,15
Manel Kape,Bruno Silva,-360,250,True,1.2778,0.0,-610,-3,7.62,2.54,0,1,1,0,-1,-1,-4,1,0,1.09,0.1,-1.61,-11,2024-12-14,False,Flyweight,MALE,3,0,4,4,2,16,0,3,1,4,Orthodox,162.56,165.1,1,0,4,3,17,0,2,0,4,Southpaw,165.1,172.72,31,34,20,9
Vitor Petrino,Dustin Jacoby,-320,260,False,0.0,3.6,-580,-9,2.54,-2.54,-3,-5,-21,0,-2,1,0,-1,1,-2.16,0.7,2.28,0,2024-12-14,False,Light Heavyweight,MALE,3,2,0,4,6,35,0,4,0,8,Orthodox,190.5,193.04,1,0,5,1,14,0,2,1,5,Orthodox,187.96,195.58,27,36,15,15
Adrian Yanez,Daniel Marcos,440,-700,False,0.0,1.1429,1140,0,2.54,0.0,3,2,2,0,5,0,0,0,3,1.06,-0.1,-1.35,-5,2024-12-14,False,Bantamweight,MALE,3,0,1,3,0,13,0,1,0,4,Orthodox,170.18,175.26,0,1,6,2,15,0,6,0,7,Orthodox,170.18,177.8,31,31,20,15
Navajo Stirling,Tuco Tokkos,-850,590,True,1.1176,0.0,-1440,-7,7.62,0.0,1,-2,0,0,1,0,1,-2,1,4.13,-0.5,-3.23,0,2024-12-14,False,Light Heavyweight,MALE,3,2,0,0,2,2,0,0,0,0,Orthodox,193.04,193.04,0,1,1,0,2,0,1,0,1,Orthodox,193.04,200.66,27,34,20,20
Michael Johnson,Ottman Azaitar,-600,390,True,1.1667,0.0,-990,4,5.08,5.08,12,13,70,1,3,0,1,-2,2,-0.16,0.0,0.57,-10,2024-12-14,False,Lightweight,MALE,3,2,0,2,2,4,0,2,0,2,Switch,172.72,180.34,0,1,4,15,74,1,5,0,14,Southpaw,177.8,185.42,38,34,20,10
Joel Alvarez,Drakkar Klose,-510,390,True,1.1961,0.0,-900,-5,17.78,15.24,-3,0,-14,0,1,3,-2,0,0,0.53,1.1,-1.3,-5,2024-12-14,False,Lightweight,MALE,3,0,4,4,2,29,0,2,0,9,Orthodox,175.26,177.8,0,2,4,2,15,0,3,3,6,Orthodox,190.5,195.58,31,36,20,15
Sean Woodson,Fernando Padilla,-164,138,True,1.6098,0.0,-302,5,5.08,2.54,5,0,19,0,1,-1,2,0,2,-0.5,-0.3,0.58,0,2024-12-14,False,Featherweight,MALE,3,0,1,1,1,5,0,1,1,2,Orthodox,185.42,193.04,0,3,3,1,24,0,2,0,7,Orthodox,187.96,198.12,32,27,20,20
Miles Johns,Felipe Lima,1340,-3000,False,0.0,1.0333,4340,4,0.0,2.54,6,2,26,0,2,-1,1,0,1,0.5,-0.7,-0.96,0,2024-12-14,False,Featherweight,MALE,3,0,1,1,0,3,0,0,1,1,Orthodox,167.64,172.72,0,2,2,2,29,0,2,0,7,Orthodox,170.18,172.72,30,26,20,20
Miranda Maverick,Jamey-Lyn Horth,-770,540,True,1.1299,0.0,-1310,-7,-2.54,-10.16,5,2,18,0,1,2,2,0,2,-0.41,0.2,0.99,-5,2024-12-14,False,Women's Flyweight,FEMALE,3,0,1,1,1,9,0,0,0,2,Orthodox,170.18,167.64,0,3,3,3,27,0,1,2,7,Southpaw,160.02,165.1,27,34,20,15
Davey Grant,Ramon Taveras,-700,440,True,1.1429,0.0,-1140,8,-2.54,0.0,4,5,27,1,2,1,-2,1,1,1.07,0.2,1.03,0,2024-12-14,False,Bantamweight,MALE,3,0,2,2,1,5,0,1,0,2,Southpaw,172.72,177.8,1,0,3,6,32,1,3,1,6,Orthodox,172.72,175.26,38,30,20,20
Josefine Knutsson,Piera Rodriguez,-250,205,False,0.0,3.05,-455,-4,-7.62,0.0,1,-2,-1,0,0,0,4,-2,1,0.2,0.0,-2.44,0,2024-12-14,False,Women's Strawweight,FEMALE,3,2,0,3,2,13,0,0,0,3,Orthodox,160.02,160.02,0,4,4,0,12,0,0,0,4,Orthodox,160.02,152.4,28,32,20,20
Mackenzie Dern,Amanda Ribas,164,-196,True,2.64,0.0,360,0,-7.62,0.0,2,1,9,0,-1,2,1,-1,0,-0.79,0.5,-1.12,-2,2025-01-11,False,Women's Strawweight,FEMALE,5,1,0,4,4,30,0,1,2,7,Orthodox,162.56,167.64,0,1,4,5,39,0,0,4,9,Orthodox,162.56,160.02,31,31,8,6
Santiago Ponzinibbio,Carlston Harris,-154,130,True,1.6494,0.0,-284,1,-7.62,0.0,7,5,34,0,5,-2,0,1,5,0.99,-0.6,-0.86,-6,2025-01-11,False,Welterweight,MALE,3,1,0,2,2,10,0,1,2,4,Orthodox,182.88,193.04,2,0,7,7,44,0,6,0,11,Orthodox,182.88,185.42,38,37,20,14
Cesar Almeida,Abdul Razak Alhassan,-260,215,True,1.3846,0.0,-475,-3,2.54,7.62,-3,-5,-12,0,-5,0,1,0,-1,-0.18,0.0,-0.84,0,2025-01-11,False,Middleweight,MALE,3,0,0,3,6,23,0,6,0,6,Orthodox,177.8,185.42,0,1,2,1,11,0,1,0,3,Orthodox,185.42,187.96,36,39,20,20
Chris Curtis,Roman Kopylov,198,-240,False,0.0,1.4167,438,5,0.0,-5.08,1,0,7,0,0,0,-1,1,0,0.93,0.0,-1.14,-5,2025-01-11,False,Middleweight,MALE,3,0,1,4,3,20,0,4,0,5,Southpaw,182.88,190.5,1,0,4,3,27,0,4,0,6,Orthodox,177.8,190.5,37,32,20,15
Christian Rodriguez,Austin Bashi,-1000,580,True,1.1,0.0,-1580,4,2.54,2.54,4,2,15,0,0,0,-1,1,3,2.1,-0.6,-6.06,0,2025-01-11,False,Featherweight,MALE,3,0,1,1,0,2,0,0,1,1,Orthodox,167.64,177.8,1,0,4,2,17,0,0,1,5,Orthodox,170.18,180.34,27,23,20,20
Punahele Soriano,Uros Medic,190,-230,True,2.9,0.0,420,1,2.54,-5.08,0,2,9,0,-2,0,0,0,1,-1.17,0.1,1.63,0,2025-01-11,False,Welterweight,MALE,3,0,1,2,2,11,0,5,0,5,Southpaw,185.42,180.34,0,1,3,4,20,0,3,0,5,Southpaw,180.34,182.88,32,31,20,20
