"date","weightclass","fighter","rank"
"2024-12-10","Flyweight","Alexandre Pantoja","0"
"2024-12-10","Flyweight","Brandon Royval","1"
"2024-12-10","Flyweight","Brandon Moreno","2"
"2024-12-10","Flyweight","Amir Albazi","3"
"2024-12-10","Flyweight","Kai Kara-France","4"
"2024-12-10","Flyweight","Tatsuro Taira","5"
"2024-12-10","Flyweight","Alex Perez","6"
"2024-12-10","Flyweight","Asu Almabayev","7"
"2024-12-10","Flyweight","Steve Erceg","8"
"2024-12-10","Flyweight","Manel Kape","9"
"2024-12-10","Flyweight","Tim Elliott","10"
"2024-12-10","Flyweight","Tagir Ulanbekov","11"
"2024-12-10","Flyweight","Bruno Gustavo da Silva","12"
"2024-12-10","Flyweight","Charles Johnson","13"
"2024-12-10","Flyweight","Kai Asakura","14"
"2024-12-10","Flyweight","Joshua Van","15"
"2024-12-10","Bantamweight","Merab Dvalishvili","0"
"2024-12-10","Bantamweight","Sean O'Malley","1"
"2024-12-10","Bantamweight","Umar Nurmagomedov","2"
"2024-12-10","Bantamweight","Petr Yan","3"
"2024-12-10","Bantamweight","Cory Sandhagen","4"
"2024-12-10","Bantamweight","Deiveson Figueiredo","5"
"2024-12-10","Bantamweight","Marlon Vera","6"
"2024-12-10","Bantamweight","Henry Cejudo","7"
"2024-12-10","Bantamweight","Song Yadong","8"
"2024-12-10","Bantamweight","Rob Font","9"
"2024-12-10","Bantamweight","Mario Bautista","10"
"2024-12-10","Bantamweight","Jose Aldo","11"
"2024-12-10","Bantamweight","Kyler Phillips","12"
"2024-12-10","Bantamweight","Aiemann Zahabi","13"
"2024-12-10","Bantamweight","Marcus McGhee","14"
"2024-12-10","Bantamweight","Montel Jackson","15"
"2024-12-10","Featherweight","Ilia Topuria","0"
"2024-12-10","Featherweight","Alexander Volkanovski","1"
"2024-12-10","Featherweight","Max Holloway","2"
"2024-12-10","Featherweight","Diego Lopes","3"
"2024-12-10","Featherweight","Movsar Evloev","4"
"2024-12-10","Featherweight","Yair Rodriguez","5"
"2024-12-10","Featherweight","Brian Ortega","6"
