RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Jiri Prochazka,Carlos Ulberg,-112,-104,False,0.0,1.9615,-8,-2,7.62,-2.54,-4,1,1,3,-1,0,-7,0,-6,-0.96,0.0,-0.04,-1,2026-04-11,True,Light Heavyweight,MALE,5,0,9,9,1,20,0,6,1,10,Orthodox,193.04,195.58,0,2,3,2,21,3,5,1,6,Orthodox,190.5,203.2,33,35,3,2
Azamat Murzakanov,Paulo Costa,-230,190,False,0.0,2.9,-420,2,-2.54,-7.62,0,-4,-17,-1,2,0,6,0,2,-1.75,0.2,0.38,-14,2026-04-11,False,Light Heavyweight,MALE,3,0,1,5,4,31,1,4,0,7,Orthodox,185.42,182.88,0,7,7,0,14,0,6,0,7,Southpaw,177.8,180.34,36,34,20,6
Curtis Blaydes,Josh Hokit,100,-118,False,0.0,1.8475,218,7,17.78,7.62,11,5,41,1,5,0,-2,0,1,-5.07,0.0,1.23,-15,2026-04-11,False,Heavyweight,MALE,3,0,3,3,0,4,0,3,0,3,Orthodox,185.42,185.42,0,1,4,5,45,1,8,0,14,Orthodox,193.04,203.2,35,28,20,5
Dominick Reyes,Johnny Walker,-168,142,True,1.5952,0.0,-310,2,-12.7,-5.08,0,-1,-3,2,0,0,-1,1,2,1.09,-0.5,-0.11,-2,2026-04-11,False,Light Heavyweight,MALE,3,0,1,4,6,28,0,6,1,9,Orthodox,198.12,208.28,1,0,6,5,25,2,6,1,9,Southpaw,193.04,195.58,36,34,12,10
Cub Swanson,Nate Landwehr,-124,106,True,1.8065,0.0,-230,5,-5.08,-2.54,15,8,62,0,6,0,1,-2,3,-0.71,-0.3,0.27,0,2026-04-11,False,Featherweight,MALE,3,2,0,3,5,23,0,1,2,5,Orthodox,175.26,182.88,0,1,6,13,85,0,7,2,20,Orthodox,172.72,177.8,42,37,20,20
Patricio Pitbull,Aaron Pico,205,-250,False,0.0,1.4,455,9,-7.62,-5.08,1,0,5,0,0,0,1,-1,1,-3.39,0.5,-5.28,-7,2026-04-11,False,Featherweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,172.72,177.8,0,1,1,1,6,0,0,0,1,Orthodox,167.64,170.18,38,29,20,13
Kevin Holland,Randy Brown,-130,110,True,1.7692,0.0,-240,-2,7.62,0.0,2,5,20,0,1,3,0,1,1,-0.15,0.1,0.08,-5,2026-04-11,False,Welterweight,MALE,3,1,0,4,7,50,0,4,3,14,Orthodox,190.5,198.12,2,0,5,12,70,0,5,6,16,Orthodox,190.5,205.74,33,35,20,15
Mateusz Gamrot,Esteban Ribovics,-220,184,True,1.4545,0.0,-404,6,2.54,0.0,3,2,15,0,1,1,-1,1,1,-4.06,0.0,4.87,-12,2026-04-11,False,Lightweight,MALE,3,0,1,3,2,17,0,2,0,5,Orthodox,177.8,175.26,1,0,4,4,32,0,3,1,8,Southpaw,177.8,177.8,35,29,20,8
Tatiana Suarez,Loopy Godinez,-156,132,True,1.641,0.0,-288,3,12.7,7.62,-1,-4,-16,2,1,2,-1,0,3,-1.57,-0.1,1.53,-4,2026-04-11,False,Women's Strawweight,FEMALE,3,0,2,4,5,39,0,0,2,9,Orthodox,157.48,154.94,0,1,7,1,23,2,1,4,8,Southpaw,165.1,167.64,35,32,6,2
Chris Padilla,MarQuel Mederos,-162,136,False,0.0,2.36,-298,1,12.7,-2.54,0,0,-2,0,1,1,0,0,0,0.73,0.3,0.9,0,2026-04-11,False,Lightweight,MALE,3,0,4,4,0,10,0,1,0,4,Orthodox,177.8,175.26,0,4,4,0,8,0,2,1,4,Orthodox,175.26,187.96,30,29,20,20
Kelvin Gastelum,Vicente Luque,-270,220,False,0.0,3.2,-490,0,-10.16,-5.08,-2,2,19,2,-5,-4,1,-2,-1,-1.15,-0.6,0.15,0,2026-04-11,False,Middleweight,MALE,3,2,0,6,8,53,0,8,6,16,Orthodox,180.34,190.5,0,1,5,10,72,2,3,2,14,Southpaw,175.26,180.34,34,34,20,20
Charles Radtke,Francisco Prado,-178,150,True,1.5618,0.0,-328,12,7.62,-2.54,3,-2,-2,0,1,1,1,-3,1,-1.18,-0.3,1.23,0,2026-04-11,False,Welterweight,MALE,3,3,0,1,4,13,0,1,0,1,Orthodox,177.8,175.26,0,1,2,2,11,0,2,1,4,Orthodox,175.26,182.88,35,23,20,20
